"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 10:14:57 GMT 2024","Thu Nov 07 10:14:58 GMT 2024","676","","0100 - SS: Proxy","","REST request is successful transferred over X-Road proxy","","REST request is successful transferred over X-Road proxy",""
"passed","Thu Nov 07 10:14:55 GMT 2024","Thu Nov 07 10:14:57 GMT 2024","2639","","0100 - SS: Proxy","","Soap request is successful over proxy","","Soap request is successful over proxy",""
