"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 04 11:04:28 GMT 2024","Mon Nov 04 11:04:31 GMT 2024","2649","","0100 - SS: Proxy","","Soap request is successful over proxy","","Soap request is successful over proxy",""
"passed","Mon Nov 04 11:04:31 GMT 2024","Mon Nov 04 11:04:31 GMT 2024","646","","0100 - SS: Proxy","","REST request is successful transferred over X-Road proxy","","REST request is successful transferred over X-Road proxy",""
