"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 13:03:45 GMT 2024","Tue Nov 05 13:03:48 GMT 2024","2732","","0100 - SS: Proxy","","Soap request is successful over proxy","","Soap request is successful over proxy",""
"passed","Tue Nov 05 13:03:48 GMT 2024","Tue Nov 05 13:03:49 GMT 2024","845","","0100 - SS: Proxy","","REST request is successful transferred over X-Road proxy","","REST request is successful transferred over X-Road proxy",""
