"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 13:35:05 GMT 2024","Tue Oct 22 13:35:08 GMT 2024","2809","","0100 - SS: Proxy","","Soap request is successful over proxy","","Soap request is successful over proxy",""
"passed","Tue Oct 22 13:35:08 GMT 2024","Tue Oct 22 13:35:09 GMT 2024","752","","0100 - SS: Proxy","","REST request is successful transferred over X-Road proxy","","REST request is successful transferred over X-Road proxy",""
