"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 11 12:50:16 GMT 2024","Mon Nov 11 12:50:19 GMT 2024","3008","","0100 - SS: Proxy","","Soap request is successful over proxy","","Soap request is successful over proxy",""
"passed","Mon Nov 11 12:50:19 GMT 2024","Mon Nov 11 12:50:19 GMT 2024","605","","0100 - SS: Proxy","","REST request is successful transferred over X-Road proxy","","REST request is successful transferred over X-Road proxy",""
