"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 08:26:07 GMT 2024","Thu Nov 07 08:26:10 GMT 2024","2634","","0100 - SS: Proxy","","Soap request is successful over proxy","","Soap request is successful over proxy",""
"passed","Thu Nov 07 08:26:10 GMT 2024","Thu Nov 07 08:26:11 GMT 2024","722","","0100 - SS: Proxy","","REST request is successful transferred over X-Road proxy","","REST request is successful transferred over X-Road proxy",""
