"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 06 08:02:33 GMT 2024","Wed Nov 06 08:02:33 GMT 2024","663","","0100 - SS: Proxy","","REST request is successful transferred over X-Road proxy","","REST request is successful transferred over X-Road proxy",""
"passed","Wed Nov 06 08:02:30 GMT 2024","Wed Nov 06 08:02:33 GMT 2024","2664","","0100 - SS: Proxy","","Soap request is successful over proxy","","Soap request is successful over proxy",""
