"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 08:47:55 GMT 2024","Fri Nov 08 08:47:57 GMT 2024","2628","","0100 - SS: Proxy","","Soap request is successful over proxy","","Soap request is successful over proxy",""
"passed","Fri Nov 08 08:47:57 GMT 2024","Fri Nov 08 08:47:58 GMT 2024","801","","0100 - SS: Proxy","","REST request is successful transferred over X-Road proxy","","REST request is successful transferred over X-Road proxy",""
